unique_id|competitor_name|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|price_per_unit|currency|breadcrumb|pdp_url|fat_%|variants|product_description|instructions|storage_instructions|country_of_origin|allergens|nutritional_score|organictype|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|file_name_4|image_url_4|file_name_5|image_url_5|file_name_6|image_url_6|upc|ingredients|servings_per_pack
23614|dirk|2025-03-27|Arla Biologisch karnemelk|Arla||1|liter|Home|Boodschappen|Zuivel & kaas|Melk & karnemelk|Arla biologisch karnemelk|1.55|1.55||||||||||Home>Boodschappen>Zuivel & kaas>Melk & karnemelk>Arla biologisch karnemelk|https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla%20biologisch%20karnemelk/23614|||Biologische karnemelk|Schudden voor gebruik.|Ten minste houdbaar tot: zie datum bovenzijde. Gekoeld bewaren (max. 7°C).||Bevat Melk(eiwit)||Organic|23614_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/162036_1_377539_638690874253650515.png||||||||||||Ingrediënten: Bevat koemelkeiwit en lactose.|
23615|dirk|2025-03-27|Arla Biologisch volle melk|Arla||1|liter|Home|Boodschappen|Zuivel & kaas|Melk & karnemelk|Arla biologisch volle melk|1.89|1.89||||||||||Home>Boodschappen>Zuivel & kaas>Melk & karnemelk>Arla biologisch volle melk|https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla%20biologisch%20volle%20melk/23615|||Biologische volle melk, hooggepasteuriseerd||Ten minste houdbaar tot: zie datum bovenzijde. Gekoeld bewaren (max. 7°C).||Bevat Melk(eiwit)||Organic|23615_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/162037_1_377541_638215614168567393.png||||||||||||Ingrediënten: Bevat koemelkeiwit en lactose.|
23616|dirk|2025-03-27|Arla Biologische halfvolle melk|Arla||1|liter|Home|Boodschappen|Zuivel & kaas|Melk & karnemelk|Arla biologische halfvolle melk|1.72|1.72||||||||||Home>Boodschappen>Zuivel & kaas>Melk & karnemelk>Arla biologische halfvolle melk|https://www.dirk.nl/boodschappen/zuivel-kaas/melk-karnemelk/arla%20biologische%20halfvolle%20melk/23616|||Biologische halfvolle melk, hooggepasteuriseerd||Ten minste houdbaar tot: zie datum bovenzijde. Gekoeld bewaren (max. 7°C).||Bevat Melk(eiwit)||Organic|23616_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/221247_1_377542_638780808350753492.png||||||||||||Ingrediënten: Bevat koeMELKeiwit en lactose.|
44838|dirk|2025-03-27|Bio+ Biologische houdbare volle melk|Bio+||1|liter|Home|Boodschappen|Zuivel & kaas|Biologisch zuivel & kaas|Bio+ biologische houdbare volle melk|1.32|1.32||||||||||Home>Boodschappen>Zuivel & kaas>Biologisch zuivel & kaas>Bio+ biologische houdbare volle melk|https://www.dirk.nl/boodschappen/zuivel-kaas/biologisch-zuivel-kaas/bio%2b%20biologische%20houdbare%20volle%20melk/44838|||Biologische volle melk UHT|Vaak goed na deze datum. Kijk. ruik en proef.|Lang houdbaar buiten de koeling, mits ongeopend. Na openen gekoeld bewaren (max. 7°C) en beperkt houdbaar.||Bevat Melk(eiwit), Bevat Lactose||Organic|44838_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/210855_1_398721_638718564520572022.png||||||||||||Ingrediënten :volle MELK*. *van biologische oorsprong.|
53017|dirk|2025-03-27|Arla Biologisch volle yoghurt|Arla||1|liter|Home|Boodschappen|Zuivel & kaas|Yoghurt, kwark & pap|Arla biologisch volle yoghurt|1.89|1.89||||||||||Home>Boodschappen>Zuivel & kaas>Yoghurt, kwark & pap>Arla biologisch volle yoghurt|https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla%20biologisch%20volle%20yoghurt/53017|||Biologische volle yoghurt||Ten minste houdbaar tot: zie datum bovenzijde. Gekoeld bewaren (max. 7°C).||Vrij van Gluten, Vrij van Schaaldieren, Vrij van Ei, Vrij van Vis, Vrij van Pinda's, Vrij van Soja, Bevat Melk(eiwit), Vrij van Noten, Vrij van Selderij, Vrij van Mosterd, Vrij van Sesam(zaad), Vrij van Zwaveldioxide en sulfieten, Vrij van Lupine, Vrij van Weekdieren, Vrij van Schelpdieren||Organic|53017_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/162043_1_405231_638215614205855275.png||||||||||||Ingrediënten: Bevat koemelkeiwit en lactose.|
61942|dirk|2025-03-27|Bio+ Biologische rijstdrink ongezoet plantaardig|Bio+||1|liter|Home|Boodschappen|Zuivel & kaas|Lactosevrije zuivel|Bio+ biologische rijstdrink ongezoet plantaardig|1.75|1.75||||||||||Home>Boodschappen>Zuivel & kaas>Lactosevrije zuivel>Bio+ biologische rijstdrink ongezoet plantaardig|https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/bio%2b%20biologische%20rijstdrink%20ongezoet%20plantaardig/61942|||Biologische rijstdrink, UHT.|Schudden voor gebruik. Gebruiksaanwijzing: Schudden voor gebruik.|Lang houdbaar buiten de koeling, mits ongeopend. Na openen gekoeld bewaren (max. 7°C) en beperkt houdbaar.||||Organic|61942_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/179421_1_413202_638406498514469083.png||||||||||||Ingrediënten :Water, 13% rijst*, zonnebloemolie*, zeezout. *van biologische oorsprong|
63290|dirk|2025-03-27|Oatly Haverdrank bio plantaardig|Oatly||1|liter|Home|Boodschappen|Zuivel & kaas|Lactosevrije zuivel|Oatly haverdrank bio plantaardig|2.59|2.59||||||||||Home>Boodschappen>Zuivel & kaas>Lactosevrije zuivel>Oatly haverdrank bio plantaardig|https://www.dirk.nl/boodschappen/zuivel-kaas/lactosevrije-zuivel/oatly%20haverdrank%20bio%20plantaardig/63290|||Biologische haverdrank.|Shake me!_x000D_ _x000D_ Goed schudden.|Ten minste houdbaar tot: Zie bovenkant verpakking. Na openen 5 dagen houdbaar in de koelkast (+8 ° C).||Bevat Gluten, Vrij van Melk(eiwit), Vrij van Soja, Bevat Haver||Organic|63290_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/59133_1_408980_637856410935928876.png||||||||||||Ingrediënten: Water, HAVER* 10%, zeezout, *Van biologische landbouw._x000D_|
67617|dirk|2025-03-27|Arla Biologisch halfvolle yoghurt vanille|Arla||1|liter|Home|Boodschappen|Zuivel & kaas|Yoghurt, kwark & pap|Arla biologisch halfvolle yoghurt vanille|2.29|2.29||||||||||Home>Boodschappen>Zuivel & kaas>Yoghurt, kwark & pap>Arla biologisch halfvolle yoghurt vanille|https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/arla%20biologisch%20halfvolle%20yoghurt%20vanille/67617|||Biologische halfvolle yoghurt met suiker en vanille||Ten minste houdbaar tot: zie datum bovenzijde. Gekoeld bewaren (max. 7°C).||Bevat Melk(eiwit)||Organic|67617_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/162045_1_420994_638215614212952516.png||||||||||||92,6% biologische halfvolle YOGHURT, water, 5,7% biologische suiker, biologisch maïszetmeel, natuurlijk vanillearoma, biologisch citroensap, biologische gemalen geëxtraheerde vanillestokjes, vanille-extract|
71912|dirk|2025-03-27|Bio+ Yoghurt halfvol|Bio+||1|liter|Home|Boodschappen|Zuivel & kaas|Yoghurt, kwark & pap|Bio+ yoghurt halfvol|1.59|1.59||||||||||Home>Boodschappen>Zuivel & kaas>Yoghurt, kwark & pap>Bio+ yoghurt halfvol|https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/bio%2b%20yoghurt%20halfvol/71912|||Biologische halfvolle yoghurt|Schudden voor gebruik.|Gekoeld bewaren (max. 7°C).||Bevat Melk(eiwit), Bevat Lactose||Organic|71912_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/99326_1_427453_637781130697117845.png||||||||||||Ingrediënten :halfvolle yoghurt (MELK)*. *van biologische oorsprong.|
71969|dirk|2025-03-27|Bio+ Volle yoghurt|Bio+||1|liter|Home|Boodschappen|Zuivel & kaas|Yoghurt, kwark & pap|Bio+ volle yoghurt|1.49|1.49||||||||||Home>Boodschappen>Zuivel & kaas>Yoghurt, kwark & pap>Bio+ volle yoghurt|https://www.dirk.nl/boodschappen/zuivel-kaas/yoghurt-kwark-pap/bio%2b%20volle%20yoghurt/71969|||Biologische volle yoghurt|Schudden voor gebruik.|Gekoeld bewaren (max. 7°C).||Bevat Melk(eiwit), Bevat Lactose||Organic|71969_1.PNG|https://d3r3h30p75xj6a.cloudfront.net/artikelen/99327_1_427454_637781130704135363.png||||||||||||Ingrediënten :volle yoghurt (MELK)*. *van biologische oorsprong.|
